iter	Passed	Remaining
414	3457	4873
415	3465	4864
416	3474	4857
417	3483	4849
418	3491	4841
419	3499	4833
420	3508	4825
421	3516	4816
422	3525	4808
423	3533	4799
424	3541	4791
425	3549	4783
426	3557	4774
427	3566	4766
428	3574	4757
429	3582	4748
430	3590	4740
431	3598	4731
432	3607	4723
433	3615	4715
434	3624	4707
435	3631	4698
436	3640	4689
437	3648	4681
438	3656	4672
439	3664	4664
440	3673	4656
441	3681	4647
442	3690	4639
443	3698	4631
444	3707	4623
445	3715	4615
446	3723	4606
447	3732	4598
448	3741	4590
449	3750	4583
450	3758	4575
451	3767	4568
452	3777	4561
453	3786	4554
454	3795	4546
455	3803	4537
456	3811	4528
457	3819	4520
458	3828	4511
459	3836	4503
460	3845	4495
461	3853	4487
462	3862	4479
463	3870	4471
464	3878	4462
465	3887	4454
466	3895	4445
467	3903	4437
468	3912	4429
469	3920	4421
470	3929	4412
471	3937	4404
472	3945	4395
473	3953	4387
474	3962	4379
475	3970	4371
476	3979	4362
477	3987	4354
478	3995	4346
479	4004	4338
480	4013	4330
481	4021	4321
482	4030	4313
483	4038	4305
484	4048	4298
485	4057	4290
486	4065	4282
487	4074	4274
488	4083	4266
489	4092	4259
490	4100	4251
491	4109	4243
492	4117	4234
493	4126	4226
494	4134	4218
495	4143	4210
496	4151	4201
497	4160	4193
498	4168	4184
499	4176	4176
500	4184	4167
501	4192	4159
502	4201	4151
503	4210	4143
504	4218	4135
505	4227	4127
506	4235	4118
507	4244	4110
508	4253	4102
509	4261	4094
510	4269	4085
511	4278	4077
512	4286	4069
513	4294	4060
514	4302	4052
515	4312	4045
516	4321	4037
517	4329	4028
518	4337	4020
519	4346	4012
520	4355	4003
521	4363	3995
522	4372	3987
523	4380	3979
524	4389	3971
525	4397	3962
526	4406	3954
527	4414	3946
528	4422	3937
529	4431	3929
530	4439	3921
531	4448	3913
532	4456	3904
533	4465	3896
534	4473	3888
535	4481	3879
536	4490	3871
537	4498	3863
538	4507	3855
539	4515	3846
540	4524	3838
541	4533	3830
542	4541	3822
543	4549	3813
544	4557	3805
545	4566	3796
546	4576	3789
547	4585	3782
548	4594	3774
549	4602	3765
550	4611	3757
551	4620	3749
552	4628	3741
553	4636	3732
554	4644	3723
555	4652	3715
556	4660	3706
557	4669	3698
558	4677	3690
559	4686	3682
560	4694	3673
561	4703	3665
562	4712	3657
563	4720	3649
564	4729	3641
565	4738	3633
566	4746	3624
567	4755	3616
568	4763	3607
569	4771	3599
570	4780	3591
571	4788	3583
572	4797	3574
573	4805	3566
574	4814	3558
575	4822	3550
576	4832	3542
577	4840	3534
578	4848	3525
579	4856	3517
580	4865	3508
581	4873	3500
582	4881	3491
583	4889	3482
584	4897	3474
585	4905	3465
586	4914	3457
587	4923	3449
588	4931	3441
589	4939	3432
590	4948	3424
591	4957	3416
592	4965	3408
593	4974	3399
594	4982	3391
595	4990	3383
596	4999	3374
597	5007	3366
598	5016	3358
599	5024	3349
600	5033	3341
601	5041	3333
602	5050	3325
603	5059	3316
604	5067	3308
605	5076	3300
606	5085	3292
607	5093	3284
608	5102	3275
609	5110	3267
610	5119	3259
611	5128	3251
612	5138	3244
613	5146	3235
614	5155	3227
615	5163	3218
616	5171	3210
617	5179	3201
618	5187	3192
619	5195	3184
620	5204	3176
621	5212	3167
622	5220	3159
623	5229	3151
624	5237	3142
625	5246	3134
626	5254	3126
627	5263	3117
628	5272	3109
629	5281	3101
630	5289	3093
631	5297	3084
632	5306	3076
633	5315	3068
634	5323	3060
635	5332	3051
636	5341	3043
637	5349	3035
638	5357	3026
639	5366	3018
640	5375	3010
641	5383	3001
642	5393	2994
643	5401	2986
644	5410	2977
645	5419	2969
646	5428	2961
647	5436	2953
648	5445	2945
649	5454	2937
650	5463	2928
651	5471	2920
652	5480	2912
653	5489	2904
654	5497	2895
655	5506	2887
656	5514	2879
657	5523	2871
658	5532	2862
659	5540	2854
660	5549	2845
661	5557	2837
662	5566	2829
663	5574	2820
664	5583	2812
665	5591	2804
666	5599	2795
667	5608	2787
668	5616	2779
669	5625	2770
670	5634	2762
671	5642	2754
672	5651	2746
673	5661	2738
674	5669	2729
675	5678	2721
676	5686	2713
677	5695	2704
678	5703	2696
679	5712	2688
680	5721	2680
681	5731	2672
682	5741	2664
683	5751	2657
684	5763	2650
685	5771	2641
686	5780	2633
687	5789	2625
688	5797	2616
689	5805	2608
690	5814	2599
691	5822	2591
692	5830	2582
693	5838	2574
694	5846	2565
695	5854	2557
696	5863	2548
697	5871	2540
698	5879	2531
699	5887	2523
700	5896	2514
701	5904	2506
702	5913	2498
703	5923	2490
704	5932	2482
705	5941	2474
706	5950	2465
707	5958	2457
708	5967	2449
709	5975	2440
710	5984	2432
711	5992	2424
712	6000	2415
713	6008	2406
714	6016	2398
715	6024	2389
716	6032	2381
717	6041	2372
718	6049	2364
719	6058	2356
720	6066	2347
721	6074	2338
722	6082	2330
723	6090	2321
724	6099	2313
725	6107	2305
726	6116	2296
727	6124	2288
728	6132	2279
729	6140	2271
730	6148	2262
731	6156	2254
732	6164	2245
733	6172	2237
734	6182	2229
735	6191	2220
736	6199	2212
